Temperature,Humidity,Hour,CO2,Occupancy
20.79,20,16,441.5,0
19.23,31.13333333,8,430.6666667,0
20.7,22.5,7,455,0
19.29,30.6,10,430,0
19.29,31.6,5,432,0
21.34,36.5,18,1408,0
20.39,18.7,4,434.5,0
19.5,27,8,471,0
22.2,26.376,14,795.2,1
22.6,27.445,18,654.25,0
22.39,26.1,13,928.6666667,0
21.4725,21.0475,10,832.25,1
19.1,30.89,11,433,0
20.89,23.445,5,448.5,0
21.34,24.29,8,709,1
19.5,27.2,23,455,0
20.55,20.79,22,450.5,0
20.5,19,3,433.5,0
22.39,26.4175,16,1073.25,1
22.29,27.34,18,611,0
22.29,26.1425,16,1061.75,1
20.29,32.96666667,1,482,0
19.39,26.7,3,468,0
19.34,31.05,2,434.5,0
21.5,19.4725,13,667,1
20,18.79,22,433,0
19.675,19.5,8,453,0
19.7,29,23,438,0
19.7,28.39,22,440.5,0
20.92666667,24.89,3,444,0
20.7,31.84,10,1119.25,1
22,27.1,19,556,0
19.5,26.79,8,471.5,0
19.89,26.6,21,441,0
19.945,18.84,23,440,0
22.34,17.79,11,456.75,0
19.5,26.5,8,470,0
20.6,20.79,17,431.6666667,0
21.84,21.65,17,918.75,1
21.13333333,33.03333333,11,1369.666667,1
20.1,21,0,442,0
21.2,21.56666667,18,609,0
20.5,21.39,17,439,0
21.6,20,13,739.25,0
19.79,27.7,22,443,0
19.29,30.575,10,435.75,0
21.29,33,13,1161.333333,0
21.075,19.575,16,436,0
20.5,19.89,1,435.5,0
20,24.5,19,443.5,0
20.815,19.625,8,568.75,1
19.245,31.445,6,431,0
22.1,38.7225,17,1984.25,1
19.34,27.39,18,424.5,0
20.245,32.845,2,461.5,0
21.39,33.09,13,1222,0
22,37.545,15,1792,1
21.7,20.84,18,772,1
19.29,30.6,10,427.3333333,0
20.15,33.09,5,446,0
19.5,27.1,0,459,0
19.7,19.39,7,447.5,0
20.34,33.09,8,453,0
20.84,23.34,5,448,0
21.7,20.2675,12,797.25,1
19.46333333,27.56666667,23,447,0
19.5,27.29,1,465,0
20.15,33.045,5,449.5,0
20.445,19.15,20,458.5,0
20.89,23.445,5,446.5,0
19.445,30.7,2,431.5,0
20.445,21.29,23,443.5,0
22.1,39,17,2028.5,1
20.5,21.29,23,448,0
19.92666667,19.42666667,9,455.3333333,0
20.1,33.09,6,451,0
19.7,19.39,7,451,0
20.29,33,1,471,0
21.39,25.7,22,479,0
21.15,25.39,23,466.5,0
19.39,26.39,7,470,0
21.79,21.445,16,890,1
19.6,29.79,0,440,0
19.2,31.39,6,432.5,0
21.79,18.2,10,454.75,0
21.29,21,9,812.5,1
22.6,28.1725,15,1113.5,1
19.34,31.6,5,432.5,0
22.7,27.075,12,1124.25,1
20.85666667,19.76,8,628.3333333,1
20.05,18.89,22,438.5,0
20.245,32.845,2,453,0
20.2,19,21,446,0
21.39,24.26,8,754.6666667,1
20.5,33.62666667,21,675.6666667,0
21.245,25.65,23,474.5,0
19.7,28.5,22,437,0
20.5,34.5,20,865,0
21.1,32.96666667,10,1339.666667,1
20.5,33.09,22,562,0
22.1,25.8,9,998.75,1
20.6,19.295,2,434.5,0
21.16666667,25.35666667,0,450.3333333,0
19.5,26.89,0,457,0
21.66666667,34.83,14,1355.333333,1
19.7675,28.175,9,546,1
20.89,24,4,438,0
21,24.7,3,441.5,0
19.6,29.55,0,442,0
21.2,25.5,23,467.3333333,0
19.39,31,3,435,0
19.29,31,9,435,0
20.7,19.5,19,528.5,0
19.39,31.2,3,433,0
20.89,23.175,7,514.75,1
20.315,33.0225,7,455.5,0
20.15,33,5,445.5,0
19.89,18.84,1,437.5,0
21,25,2,445,0
20,18.79,0,438,0
22.2,21.66666667,15,923.6666667,1
20.39,26.2,14,425.75,0
20.79,19.4725,8,546.25,1
20,25.025,19,442,0
19.1,30.89,11,426,0
22.2,26.8975,14,919.75,1
20.245,18.695,5,438.5,0
20.5,34,21,752,0
20.39,21.79,17,443.5,0
20.89,19.79,9,654,1
21.5,19.29,13,654,1
21.245,32.95,13,1122.2,1
20.29,33.09,6,449,0
22.175,26.6,11,1077.75,1
19.6,28.89,23,433.5,0
19.945,29.05,9,636,1
20.1,19.29,9,460,0
22.075,26.2,9,1023.5,1
21.84,18.245,15,440.5,0
19.89,18.89,2,439,0
19.29,31.39,4,433,0
21.39,33.95,12,1355.5,1
21.29,19.4175,13,656,1
22,38.59,16,1940,1
20.39,18.7,4,427.5,0
19.1,31.445,7,435.5,0
21.79,21.82333333,16,953,1
20.29,22.6,18,434,0
19.7,19.39,7,443.3333333,0
21.1,20.1,19,538,0
21.5,34.29,12,1401,1
21,32.59,10,1312,1
19.42666667,26.03333333,7,467,0
19.245,31.15,8,436.75,0
21.2,25.39,23,463,0
21.6,34.475,12,1419.75,1
19.79,19.29,4,443.3333333,0
19.5,26.7,2,473,0
20.39,29.2,13,427.3333333,0
20.745,28.1,13,427,0
20.05,29.575,9,689.75,1
19.79,19.29,3,441,0
21.7,20.39,11,787,1
20.7,20.39,16,441,0
19.5,27.745,22,451.5,0
20.1,33.09,6,445,0
19.945,25.745,20,440,0
19.89,19,2,442.5,0
19.5,27,16,426.75,0
19.2,31.5,6,435,0
20.29,18.7675,5,432.75,0
19.39,26.7,3,467,0
21.5,19.4175,13,655.25,1
21.84,23.745,18,813.6666667,0
20.89,23,6,449,0
19.79,28.05,22,433.5,0
19.5,27.6,21,456,0
20.89,19.79,18,595.5,0
19.445,25.945,7,473.5,0
20.89,23.6,5,448.5,0
19.92666667,26.39,15,421.3333333,0
19.5,27.6,21,458,0
20.7,20.7,17,436.5,0
19.5,27.6,21,448,0
19.5,30.1,1,433.5,0
19.29,31.2,7,437,0
21.7,20.39,12,791,1
20.2,33.09,6,454,0
19.7,19.39,5,443,0
22,37.59,15,1813.25,1
19.5,26.7,5,456,0
20.39,19.245,19,500.5,0
20.89,23.445,5,448,0
20.79,18.84,9,458.75,0
20.7,27.815,13,423.5,0
21.39,20.5,18,722.5,0
21.125,33.1175,11,1364.75,1
20.5,34.09,20,767,0
21.745,18.315,15,438.5,0
19.7,19.39,6,445,0
21.29,33,13,1159,0
22.6,17.2,14,446,0
19.39,27.39,20,449,0
21,36.09,19,1280,0
21.15,19.445,19,500,0
22.675,26.89,12,1111.25,1
23.025,17.365,12,447.25,0
20.39,18.7,5,423,0
19.39,27.2,17,422.5,0
20.39,18.7,5,431,0
21.9725,37.6725,15,1828,1
21.7,20.625,11,830.75,1
19.63333333,27.63333333,8,506.6666667,1
22.2,20.745,14,840,1
20.2,23.23,18,438,0
22,38.1175,15,1875.5,1
20.29,32.9,2,454.5,0
19.2225,31.175,8,439.5,0
21.06666667,32.86333333,10,1325.666667,1
20.1,21.06666667,0,442.3333333,0
19.79,26.6,16,421.3333333,0
20.7,20.65,16,439,0
20.29,32.95,1,468,0
20.6,31.2675,9,1016,1
22.245,28.2225,14,988.75,1
20.29,32.9,1,462,0
21.79,37.2,18,1640.5,0
22.1,26.47,10,1031.5,1
21.5,18.79,15,439.5,0
20.945,20.55,9,707.5,1
21.4175,33.09,13,1229.75,0
21.4175,34.0225,12,1365.25,1
20.5,26.2,14,417.6666667,0
20.29,33.09,8,452.5,0
19.34,26.7,3,469,0
21.865,18.2,15,441,0
21,24.89,2,439,0
20.6,35.2,19,1008,0
21,24.89,3,445,0
19.5,26.65,8,470.5,0
21.2,25.34,23,462.5,0
20.525,19.315,8,509.25,1
21.2,19.39,20,479.6666667,0
19.5,30.39,1,433,0
22.29,17.6,14,439.5,0
22.5,27.125,15,1063.5,1
20.5,34.59,20,882,0
20.29,33,0,478,0
20.175,18.675,7,440.75,0
21.32333333,21.03333333,9,810,1
19.5,26.79,5,459,0
20.29,18.5,7,439,0
19.89,18.745,1,433,0
19.79,19.2,3,441.5,0
20.7,22.5,7,451.5,0
22.2,27,12,1114,1
21.5,34.09,14,1242,1
20.29,32.95,1,463,0
19.245,30.6,11,435,0
22.2,27,12,1097.75,1
20.7,22.7,7,452,0
19.745,19.29,5,444.5,0
20.365,26.2,14,424.75,0
19.23,30.63333333,11,430,0
20.89,32.4725,10,1240.75,1
19.745,19.39,5,442,0
22.1,37.79,18,1788.5,1
20.5,18.7,4,435,0
19.89,18.89,2,437,0
19.675,19.5,8,453.25,0
22,23.92666667,17,858,1
22.6,17.1,14,442.25,0
19.39,30.6,9,428,0
22.1,38.82666667,16,2001,1
21.6,20.6,18,775.5,0
19.26,31.46333333,6,431.6666667,0
21.39,24.29,8,766.6,1
19.29,30.865,9,437.75,0
22.1,24.12,17,866,1
20.6,26.15,14,424.75,0
19.39,26.79,5,457,0
20.1,33.145,6,449,0
19.2,30.865,11,428.75,0
22.5,27.125,15,1071.25,1
20.82333333,23.03333333,7,499,1
22.2,24.7,17,938,1
22.2675,28.025,14,959.75,1
20.675,26.4725,14,415.75,0
21.745,19.05,13,626.75,1
19.29,31.29,4,439,0
19.2225,31.125,8,430.5,0
19.29,30.7,12,435,0
21.1,20.1,18,647,0
19.39,26.745,2,472.5,0
20.7,26.65,13,412.75,0
20.29,21.29,23,440.5,0
21.34,24.15,8,695.5,1
21.5,25.92666667,21,493,0
21.4725,33.925,12,1347,1
19.675,19.5,8,456.25,0
20.39,32.9,23,512,0
21.745,21.575,17,890,1
21.55,18.39,10,459.25,0
20.445,33.245,22,617.5,0
20.6,19.6,2,438,0
19.5,27.29,1,459,0
21.6,26.445,20,508,0
19.5,26.5,8,472,0
21.73,21.29333333,16,891.6666667,1
19.79,27.5,21,440,0
20.2,18.89,21,443.5,0
21.89,21.49666667,16,889,1
20.5,19.29,19,483,0
21.5,18.7,15,438.75,0
19.39,27.55,20,444.5,0
19.6,29.5,0,436,0
20.2,21.29,0,445.75,0
21.39,20.5,18,730.6666667,0
21.2,25.1,1,442.5,0
21,32.545,10,1300.75,1
21.2,25.29,23,467,0
20,18.7,0,434.25,0
20.2,21.29,0,447,0
20.34,18.7,5,433.5,0
19.5,27.6,21,449.5,0
19.29,26.79,3,474,0
22.6,26.85666667,12,1105,1
22.025,24.0475,18,845.5,1
19.5,27,0,461,0
20.29,33.09,8,455.5,0
23.1,17.245,12,447.5,0
20.6,19.39,19,519.5,0
22.1,38.79666667,17,2012.333333,1
20.29,33.09,7,451,0
22.39,27.35666667,18,629.3333333,0
21.2,20.2,18,666.5,0
19.79,19.32333333,4,446.3333333,0
21.89,27.1,19,548.5,0
21.16666667,25.2,1,444,0
22.29,27.29,19,605.5,0
22.6,26.79,12,1100.5,1
20.29,33,1,470,0
19.29,30.6,10,428.75,0
19.79,27.79,22,439.5,0
20.66666667,26.35666667,14,421,0
19.35666667,26.73,3,472.3333333,0
21.23,25.23,23,454,0
19.29,30.89,9,435.25,0
19.2,31.39,7,429,0
20,18.7,1,439,0
20.5,34,21,754,0
21.2,32.9,13,1138.4,0
21.575,33.595,12,1375.5,1
19.2225,30.575,11,434.25,0
20.7,20.39,16,440.75,0
22.7,26.075,13,965.25,0
20.26,19.19666667,20,458.6666667,0
20,18.7,1,435.5,0
19.6,19.5,8,450.75,0
20.89,19.89,21,471,0
21.5,18.5,10,462.5,0
20.85666667,19.79333333,8,648,1
20.5,34.26,20,807,0
21.73,20.56666667,11,830.6666667,1
20.79,20.2,21,461.5,0
21.4725,33.8975,12,1337.25,1
19.29,27.5,18,427,0
21.7225,20.525,11,815.75,1
22.29,25.89,17,1036.333333,1
22,20.945,16,861,1
20.39,32.9,23,506.3333333,0
19.46333333,27.56666667,21,450,0
21.2,36.29,18,1372,0
19.39,26.7,2,470,0
20.79,20.1,21,461,0
19.7,19.39,6,445,0
19.89,19.4175,9,453.25,0
20.2,32.9,3,450.6666667,0
19.55,30.2,1,441.5,0
21.7,37,18,1573,0
20.245,21.245,23,438,0
20.5,19.1,3,433,0
20.5,34.95,20,943.5,0
19.5,27.6,21,447,0
22.2,21.1475,14,875,1
20.7,35.29,19,1048,0
19.79,19.2,3,437.3333333,0
19.79,26.5,21,438,0
20.89,19.89,21,469.5,0
19.5,27.7,22,455.5,0
20.2675,19.2175,7,470.25,1
20.39,18.7,5,430,0
21.39,25.7,21,489,0
19.4175,30.4725,12,429,0
19.29,31.5,5,428.5,0
20.29,33.09,8,449,0
22.1,21.1475,15,893.5,1
20.7,22.7,7,458,0
19.79,19.1,3,443,0
19.84,18.945,2,438,0
20.1,24.05,19,434.5,0
22.2,21.4175,15,893,1
21.2,25.2,1,444.5,0
21.1,19.6,20,484,0
19.2,31.445,6,434,0
19.2,31.2,8,435.75,0
20.5,19,9,454.6666667,0
20.29,22.7,18,437,0
20,18.84,22,439,0
19.39,31.1,3,437,0
19.29,31.245,4,433.5,0
19.34,27.7,19,440.5,0
21,24.39,3,447,0
19.79,19.2,5,443,0
22.76,17.6,11,450,0
21.2,25.2,0,458.6666667,0
21.29,33.145,11,1433.25,1
19.29,31.6,6,436,0
20.89,23.5,5,440.5,0
21.1,24.89,2,438.5,0
19.79,26.39,21,435,0
20,18.7,0,438,0
19.7,29.1,23,436,0
21.15,19.65,19,520,0
19.39,27.6,20,441.5,0
21,24.5,3,444.5,0
19.89,18.89,2,443,0
21.7,35.09,14,1398.333333,1
21,32.5675,10,1294,1
20.5,33,23,543,0
20.89,23.42666667,5,450,0
20.29,33,3,449,0
19.65,28.945,23,437,0
20.39,32.9,23,511,0
20,18.7,1,441.5,0
19.39,27.15,17,426.75,0
20.39,33,23,531,0
19.2,31.55,6,432,0
20.1,33,4,444,0
22.7,26.89,12,1120,0
19.6,30.1,12,422.5,0
20.6,20.79,22,459,0
20,25.05,20,441,0
19.26,31.1,8,442,0
22.1,25.83,9,1006.666667,1
20.79,20,21,464,0
21.4175,24.315,8,785.5,1
20,18.745,23,440.5,0
20.5,33.16333333,22,593.6666667,0
19.39,26.79,0,462.5,0
19.5,26.5,6,470,0
19.89,26.1,20,445.5,0
21.39,25.7,22,477,0
21.2,25.5,23,473,0
20.06666667,19.26,9,460.6666667,0
19.79,19.29,4,442,0
22.1,17.89,10,459.3333333,0
20.5,33.76,21,704,0
19.55,29.7,0,440,0
21.5,34.26,14,1260.333333,1
20.945,24,4,438.5,0
21.29,25.7,22,476,0
22.075,26.3425,10,1033,1
19.5,30.5,1,439,0
20.9725,20.7675,9,733.25,1
20.29,32.9,2,464,0
21.2,25.445,23,466,0
19.1,30.89,11,424,0
20,24.7,19,447,0
21.6,23.5,18,748.5,0
19.66666667,30.16666667,12,427,0
19.89,18.89,2,437,0
19.5,26.7,5,460.3333333,0
21.6,26.7,20,521,0
22.6,17.55,11,456,0
20.29,22.745,18,438,0
20.39,19.2,20,479,0
21,20,18,625.5,0
20.5,19.29,19,503,0
21,24.6,3,444,0
19.2675,31,9,428.75,0
19.7,29,23,440,0
22.2,24.56666667,17,920.3333333,1
20.2,33,5,443,0
19.39,26.7,4,469.5,0
19.79,19.29,4,443,0
19.23,30.53333333,11,432,0
20.29,32.9,2,460.5,0
20.7,20.525,16,442.75,0
22.075,38.8975,16,1991.75,1
20.39,33,23,532,0
21.39,18.89,15,436.75,0
21.65,20.2475,11,789.5,1
20.7,26.55,13,416,0
20.39,19.29,19,490.5,0
19.5,26.5,8,471,0
20.29,18.5,7,435,0
21,20.815,9,752.25,1
20.29,18.79,5,440,0
22.2675,25.575,17,1002.75,1
20.5,21.1,17,435,0
20.945,36,19,1206.5,0
19.39,26.7,2,468,0
20.29,32.9,2,458.5,0
22.05,38.9975,16,1994.25,1
19.39,27.1,1,467.5,0
19.39,30.89,2,434,0
21.2,25.6,23,469,0
20.1,33.145,6,451,0
22.03333333,21.56666667,15,883.6666667,1
20.89,20.1,21,469.5,0
19.5,27.2,1,464.5,0
19.96333333,28.96,9,622,1
19.5,30.2,1,437,0
19.39,27.1,17,425.75,0
22.6,26.5,12,1046.333333,1
21.39,18.79,15,439,0
22.1,21.84,15,914,1
19.7,19.445,7,450,0
22.29,27.35666667,18,616.3333333,0
22.7,17.6,11,453,0
20.29,32.9,1,473,0
19.39,31,3,438,0
20.89,23.7,5,446,0
20.29,20.79,0,443,0
20.6,27.65,13,429,0
20.5,34,21,755,0
20.29,32.925,0,480,0
22.79,17.6,11,450.5,0
20.2,20.79,0,441,0
22.79,17.1,13,443.5,0
21.5,20.7,18,740,0
20.39,20.2,1,441,0
19.745,19.2,3,438.6666667,0
19.39,26.73,3,469.3333333,0
20.865,19.65,8,579.5,1
21.79,23.7,18,807,0
19.39,26.84,0,461,0
20.89,23.2,6,451,0
19.6,29.92666667,0,437.5,0
19.29,31.5,5,431.5,0
20.15,33,5,446.5,0
20.5,21.29,17,436.5,0
20.5,21.445,17,435.5,0
22.29,25.89,14,797,0
21.6,26.5,20,514,0
20.5,21.2,22,447,0
19.34,31.2,3,431,0
19.39,26.7,3,469,0
20.5,33.29,22,622,0
20,19.29,9,450.75,0
19.89,27.245,21,441.5,0
22.89,27.5,18,689.5,0
20.23,32.82666667,2,455.6666667,0
20,18.7,0,436,0
20.63333333,19.39,19,519.3333333,0
20.39,20.2,1,436,0
21.79,21.79333333,17,945.6666667,1
20,18.79,23,441,0
20.89,23.5,5,446,0
20.84,19.745,8,614.75,1
21,19.79,16,444,0
21.445,25.745,21,488,0
20.29,26.175,15,417.75,0
19.2,31.53333333,5,432.6666667,0
19.39,26.7,2,471,0
19.29,26.79,4,470,0
19.65,19.34,7,453,0
